ID_Uzorka;Dubina_Busenja_cm;Temp_Tla_C;pH_Vrijednost;H2O_Postotak;Metan_Senzor;Organske_Molekule
42;9.9;-22.0;6.79;5.17;Pozitivno;Da
43;11.9;-14.5;7.15;4.63;Pozitivno;Da
44;12.3;-17.7;7.13;5.61;Pozitivno;Da
45;10.1;-23.1;7.06;4.08;Pozitivno;Ne
46;10.7;-25.5;7.04;6.28;Pozitivno;Da
47;12.1;-16.9;6.98;5.59;Pozitivno;Da
48;10.6;-24.5;7.11;4.04;Pozitivno;Ne
49;8.7;-15.9;7.24;4.91;Pozitivno;Da
50;9.5;-10.6;7.1;5.25;Pozitivno;Da
51;8.0;-17.1;7.02;4.77;Pozitivno;Da
52;13.0;-24.5;6.95;5.21;Pozitivno;Da
53;11.7;-27.8;7.05;5.18;Pozitivno;Da
54;11.5;-28.9;7.24;4.82;Pozitivno;Da
55;13.3;-24.6;7.36;4.29;Pozitivno;Da
56;8.4;-24.1;6.92;4.84;Pozitivno;Ne
57;8.3;-14.9;6.76;4.26;Pozitivno;Da
58;12.3;-18.7;7.08;5.94;Pozitivno;Ne
59;10.8;-29.2;6.9;4.48;Negativno;Da
60;11.3;-16.4;7.33;5.89;Pozitivno;Da
61;11.3;-13.0;7.16;5.18;Pozitivno;Da
62;11.2;-12.4;7.13;4.5;Pozitivno;Da
63;11.0;-25.5;6.97;5.38;Pozitivno;Da
64;9.1;-4.4;6.98;5.07;Pozitivno;Da
65;9.9;-23.7;6.77;4.79;Pozitivno;Ne
66;8.5;-20.5;6.54;4.17;Pozitivno;Da
67;8.2;-26.1;7.07;5.3;Pozitivno;Da
68;13.8;-28.0;7.09;3.98;Pozitivno;Da
69;9.5;-5.7;6.95;4.16;Pozitivno;Da
70;10.1;-15.6;6.79;5.37;Pozitivno;Da
71;8.6;-22.6;6.62;4.51;Pozitivno;Da
72;12.0;-16.0;7.0;5.12;Pozitivno;Da
73;11.3;-16.9;6.81;4.35;Pozitivno;Ne
74;8.7;-17.6;6.94;5.53;Pozitivno;Ne
75;13.3;-14.7;6.84;4.95;Pozitivno;Ne
76;12.9;-26.1;6.67;4.42;Pozitivno;Ne
77;10.7;-15.2;6.88;5.54;Pozitivno;Ne
78;6.7;-20.9;7.1;5.0;Pozitivno;Ne
79;10.1;-22.9;6.88;4.71;Pozitivno;Ne
80;10.8;-27.0;6.71;4.76;Pozitivno;Da
81;4.8;-27.0;7.34;4.71;Pozitivno;Ne
82;11.4;-26.9;6.95;5.42;Pozitivno;Da
83;10.9;-14.8;7.08;5.38;Pozitivno;Da
84;11.4;-14.3;7.43;5.06;Pozitivno;Da
85;9.5;-14.7;6.84;5.18;Negativno;Da
86;9.4;-19.8;7.06;5.29;Pozitivno;Da
87;7.5;-18.9;6.82;5.1;Pozitivno;Da
88;10.1;-20.3;6.78;4.2;Pozitivno;Da
89;13.7;-17.5;7.07;4.6;Pozitivno;Ne
90;10.1;-19.3;6.98;4.91;Pozitivno;Da
91;9.7;-16.6;6.97;5.26;Pozitivno;Da
92;11.5;-28.0;7.03;4.57;Negativno;Da
93;9.5;-16.7;6.98;5.23;Pozitivno;Ne
94;11.0;-17.9;7.11;4.59;Pozitivno;Da
95;14.4;-22.0;7.29;3.88;Pozitivno;Da
96;9.0;-21.1;7.2;5.24;Pozitivno;Da
97;10.4;-22.7;6.69;4.62;Pozitivno;Da
98;6.9;-11.9;6.72;5.03;Pozitivno;Da
99;9.8;-17.5;7.06;4.85;Negativno;Ne
100;9.7;-12.7;7.19;5.05;Pozitivno;Ne
101;11.1;-19.2;7.39;3.94;Pozitivno;Ne
102;11.0;-23.0;6.86;5.8;Pozitivno;Da
103;10.7;-12.6;6.72;4.55;Pozitivno;Da
104;12.6;-30.2;6.96;5.63;Pozitivno;Ne
105;8.7;-20.0;7.13;4.44;Pozitivno;Da
106;7.3;-12.5;7.14;5.0;Pozitivno;Da
107;8.6;-19.4;6.85;4.51;Pozitivno;Da
108;7.8;-18.5;6.81;5.15;Pozitivno;Da
109;8.8;-15.7;6.93;4.79;Pozitivno;Da
110;11.4;-25.4;6.55;4.5;Pozitivno;Da
111;7.5;-17.8;7.65;4.64;Pozitivno;Da
112;9.1;-17.8;6.92;5.63;Pozitivno;Da
113;12.5;-19.3;6.29;5.52;Pozitivno;Da
114;9.6;-22.5;7.02;5.42;Pozitivno;Da
115;8.9;-18.3;6.88;4.15;Pozitivno;Ne
116;9.6;-11.1;6.92;5.02;Pozitivno;Da
117;10.7;-24.2;7.16;5.2;Pozitivno;Da
118;11.1;-24.2;6.77;5.29;Pozitivno;Da
119;9.2;-18.6;7.27;4.97;Negativno;Da
120;8.3;-23.2;7.43;5.01;Pozitivno;Ne
121;11.8;-19.2;7.03;5.88;Negativno;Da
122;13.3;-17.9;6.66;5.17;Pozitivno;Da
123;8.3;-17.6;6.84;5.34;Pozitivno;Da
124;10.1;-16.6;7.31;5.51;Pozitivno;Da
125;8.4;-19.2;7.35;5.35;Pozitivno;Da
126;9.8;-26.5;6.89;4.95;Pozitivno;Ne
127;9.8;-25.1;7.0;5.2;Pozitivno;Da
128;10.9;-22.2;7.07;4.55;Pozitivno;Da
129;11.7;-16.8;7.04;5.37;Pozitivno;Da
130;5.1;-26.3;7.17;5.71;Pozitivno;Da
131;10.4;-18.9;6.87;4.47;Pozitivno;Da
132;11.7;-19.3;6.54;5.4;Pozitivno;Da
133;9.5;-14.9;6.93;5.26;Pozitivno;Da
134;8.2;-19.9;7.18;5.25;Pozitivno;Ne
135;6.7;-26.9;6.86;5.85;Negativno;Da
136;11.6;-22.7;7.2;4.62;Pozitivno;Ne
137;11.7;-17.0;6.92;5.49;Pozitivno;Da
138;8.6;-21.8;7.26;5.06;Pozitivno;Ne
139;7.6;-28.4;6.95;5.51;Pozitivno;Da
140;9.9;-17.8;7.04;4.96;Pozitivno;Da
141;10.1;-17.7;7.01;5.31;Pozitivno;Da
142;7.5;-20.9;7.05;5.59;Pozitivno;Da
143;10.4;-20.8;7.22;5.83;Pozitivno;Da
144;12.2;-15.1;6.76;4.66;Pozitivno;Da
145;9.5;-12.5;6.52;5.35;Pozitivno;Da
146;7.3;-19.8;7.42;5.23;Pozitivno;Da
147;11.0;-19.2;7.18;4.75;Negativno;Da
148;10.3;-20.9;6.95;4.93;Pozitivno;Da
149;10.3;-16.7;7.11;4.61;Pozitivno;Ne
150;7.2;-18.3;6.93;5.72;Pozitivno;Ne
151;8.7;-17.0;7.44;4.25;Pozitivno;Da
152;9.2;-23.5;7.19;5.75;Pozitivno;Da
153;9.1;-14.7;6.86;4.73;Pozitivno;Ne
154;8.9;-16.9;6.97;5.68;Pozitivno;Ne
155;12.9;-18.6;7.16;5.58;Negativno;Da
156;7.9;-22.2;7.23;5.1;Pozitivno;Da
157;11.6;-21.5;7.22;4.65;Pozitivno;Da
158;7.8;-23.2;6.73;4.35;Pozitivno;Da
159;11.7;-23.3;7.16;4.33;Pozitivno;Da
160;7.2;-25.1;7.12;5.53;Pozitivno;Da
161;11.1;-21.7;7.0;4.35;Pozitivno;Da
162;8.2;-22.8;7.17;4.6;Pozitivno;Da
163;14.0;-18.5;6.76;5.37;Pozitivno;Da
164;10.2;-10.3;7.1;5.77;Pozitivno;Da
165;9.2;-14.4;6.6;3.87;Pozitivno;Da
166;9.9;-22.6;6.71;4.86;Pozitivno;Da
167;9.9;-26.6;7.07;5.16;Pozitivno;Da
168;10.2;-23.5;7.03;4.57;Pozitivno;Da
169;9.9;-21.1;6.91;5.56;Pozitivno;Da
170;9.7;-29.0;6.68;4.38;Pozitivno;Da
171;9.7;-21.7;6.94;5.37;Negativno;Da
172;10.1;-25.0;7.13;4.32;Pozitivno;Da
173;6.5;-23.8;7.29;4.5;Pozitivno;Da
174;12.0;-21.3;7.1;5.05;Pozitivno;Da
175;9.8;-15.5;7.39;4.5;Pozitivno;Da
176;13.3;-18.9;6.96;4.57;Pozitivno;Da
177;9.4;-18.3;6.92;5.79;Pozitivno;Ne
178;10.4;-17.5;7.13;4.98;Negativno;Ne
179;10.4;-28.0;7.5;4.84;Pozitivno;Da
180;9.6;-23.4;7.28;5.05;Pozitivno;Ne
181;10.2;-26.3;7.21;5.15;Pozitivno;Da
182;8.0;-23.5;7.01;5.11;Pozitivno;Da
183;10.8;-19.6;6.64;5.5;Pozitivno;Ne
184;11.8;-18.5;6.99;5.1;Pozitivno;Da
185;15.3;-21.1;7.03;4.76;Pozitivno;Da
186;8.7;-22.3;6.84;5.43;Pozitivno;Da
187;11.3;-20.8;7.04;5.16;Pozitivno;Da
188;9.9;-22.0;7.19;5.27;Pozitivno;Da
189;10.4;-23.5;7.11;4.6;Pozitivno;Ne
190;7.2;-16.9;7.02;4.87;Pozitivno;Da
191;7.7;-26.6;7.11;5.4;Pozitivno;Da
192;9.8;-22.0;7.21;4.52;Pozitivno;Ne
193;10.2;-19.1;6.99;5.5;Pozitivno;Ne
194;7.9;-11.9;7.26;5.48;Pozitivno;Da
195;9.7;-16.7;7.08;4.3;Pozitivno;Da
196;6.1;-24.8;7.08;4.64;Pozitivno;Ne
197;8.8;-21.5;6.63;5.2;Pozitivno;Ne
198;11.8;-14.3;7.03;4.97;Negativno;Da
199;8.9;-15.3;7.21;4.86;Pozitivno;Da
200;10.5;-21.1;7.26;5.0;Pozitivno;Da
201;6.9;-14.2;6.98;5.26;Negativno;Da
202;7.2;-13.2;7.26;4.86;Pozitivno;Da
203;7.3;-18.8;7.28;5.41;Pozitivno;Da
204;12.9;-20.4;6.89;4.74;Pozitivno;Da
205;9.2;-24.9;6.76;4.45;Pozitivno;Da
206;10.0;-16.5;7.02;4.33;Pozitivno;Da
207;8.1;-11.5;6.93;5.25;Pozitivno;Da
208;5.8;-21.7;6.92;5.65;Pozitivno;Da
209;9.9;-25.3;6.76;4.49;Pozitivno;Da
210;10.2;-22.9;6.72;5.42;Pozitivno;Da
211;14.6;-25.8;7.29;5.9;Pozitivno;Da
212;9.6;-19.9;6.86;5.94;Pozitivno;Da
213;10.0;-14.7;7.2;4.32;Pozitivno;Ne
214;12.9;-26.5;6.76;5.9;Pozitivno;Da
215;12.2;-22.8;7.18;5.61;Pozitivno;Da
216;10.0;-24.5;6.83;4.77;Pozitivno;Da
217;10.2;-29.5;7.08;5.02;Pozitivno;Da
218;9.4;-34.2;7.04;5.57;Pozitivno;Da
219;10.8;-19.5;6.75;4.73;Pozitivno;Da
220;6.8;-22.5;7.03;5.6;Pozitivno;Da
221;9.0;-17.6;7.03;5.04;Pozitivno;Da
222;7.0;-15.3;7.27;4.81;Pozitivno;Ne
223;12.5;-26.5;6.82;5.24;Pozitivno;Ne
224;11.3;-17.6;7.11;5.72;Pozitivno;Ne
225;9.5;-20.8;6.53;4.91;Pozitivno;Ne
226;11.6;-26.3;6.59;5.46;Pozitivno;Da
227;9.1;-19.8;6.95;5.92;Negativno;Da
228;11.0;-27.9;6.81;5.01;Pozitivno;Ne
229;8.4;-19.5;6.94;4.83;Negativno;Da
230;13.7;-20.8;6.92;5.4;Pozitivno;Da
231;9.7;-27.2;6.78;4.97;Pozitivno;Da
232;9.3;-26.4;7.03;4.94;Pozitivno;Da
233;7.1;-22.6;7.4;4.93;Pozitivno;Da
234;9.7;-27.8;6.74;5.2;Pozitivno;Da
235;12.6;-25.4;6.91;4.76;Negativno;Da
236;13.0;-24.9;6.81;4.74;Pozitivno;Da
237;13.4;-21.4;6.94;4.45;Pozitivno;Da
238;10.0;-19.4;6.63;5.12;Negativno;Da
239;6.2;-29.8;6.87;4.67;Pozitivno;Da
240;7.5;-15.2;7.05;4.93;Pozitivno;Da
241;11.9;-17.7;6.84;4.11;Pozitivno;Da
242;9.9;-23.8;6.81;5.16;Pozitivno;Da
243;12.1;-23.2;7.0;5.1;Pozitivno;Da
244;12.6;-24.9;6.77;4.64;Pozitivno;Da
245;8.3;-19.3;6.85;4.16;Pozitivno;Da
246;9.5;-23.8;6.98;4.81;Pozitivno;Da
247;13.9;-15.9;7.12;5.18;Pozitivno;Da
248;10.4;-24.0;6.77;4.67;Pozitivno;Da
249;9.1;-16.2;7.52;4.62;Pozitivno;Da
250;10.7;-26.2;6.87;4.07;Pozitivno;Da
251;10.9;-21.3;6.92;3.96;Pozitivno;Da
252;9.1;-15.0;6.73;4.27;Negativno;Da
253;12.2;-16.7;7.4;3.6;Pozitivno;Da
254;11.4;-15.3;7.09;4.32;Negativno;Da
255;7.9;-18.4;6.96;3.6;Negativno;Da
256;11.0;-22.1;7.03;3.65;Pozitivno;Ne
257;15.6;-24.0;6.87;4.6;Negativno;Da
258;14.0;-28.0;7.0;4.13;Negativno;Ne
259;17.2;-22.2;6.8;3.45;Pozitivno;Ne
260;6.9;-16.8;7.14;3.99;Pozitivno;Da
261;13.8;-21.9;7.04;4.16;Pozitivno;Ne
262;9.3;-15.7;7.19;4.49;Negativno;Da
263;12.1;-26.2;7.03;4.02;Pozitivno;Da
264;13.4;-22.4;6.76;4.78;Pozitivno;Da
265;11.0;-15.6;6.63;3.31;Pozitivno;Da
266;8.7;-21.8;6.91;3.45;Pozitivno;Ne
267;14.2;-20.9;7.05;3.53;Pozitivno;Ne
268;14.1;-24.2;6.81;3.84;Pozitivno;Da
269;10.5;-18.7;7.13;4.84;Pozitivno;Da
270;16.6;-21.4;6.91;3.66;Pozitivno;Da
271;13.1;-26.7;7.02;3.41;Pozitivno;Da
272;17.2;-15.8;7.06;4.43;Pozitivno;Ne
273;12.9;-21.4;7.05;3.98;Pozitivno;Da
274;17.4;-13.9;7.29;3.98;Pozitivno;Da
275;14.3;-11.2;7.17;4.81;Pozitivno;Da
276;16.0;-23.5;7.11;4.34;Pozitivno;Da
277;9.5;-17.2;6.63;4.1;Pozitivno;Da
278;9.0;-20.4;7.1;4.18;Pozitivno;Da
279;14.8;-16.8;7.08;4.41;Pozitivno;Da
280;15.8;-16.9;7.05;3.77;Pozitivno;Da
281;10.4;-15.3;6.88;3.0;Pozitivno;Da
282;10.3;-23.4;7.17;4.31;Pozitivno;Da
283;9.3;-24.2;7.13;3.45;Pozitivno;Da
284;12.2;-22.0;7.09;3.81;Pozitivno;Da
285;12.9;-24.5;7.03;3.99;Pozitivno;Ne
286;13.5;-20.1;7.12;4.26;Pozitivno;Da
287;9.6;-11.7;7.01;4.26;Pozitivno;Da
288;6.1;-17.8;7.0;4.13;Pozitivno;Da
289;13.2;-15.9;6.62;4.28;Pozitivno;Da
290;11.5;-13.4;7.12;4.13;Negativno;Da
291;13.4;-27.5;6.64;4.21;Pozitivno;Da
292;15.4;-15.8;6.85;3.18;Pozitivno;Da
293;12.0;-18.9;7.06;3.53;Pozitivno;Ne
294;8.3;-20.2;6.87;4.05;Pozitivno;Da
295;13.4;-29.1;7.62;4.22;Negativno;Da
296;10.0;-18.6;6.78;3.4;Negativno;Da
297;6.8;-18.0;7.1;4.34;Pozitivno;Da
298;15.0;-28.0;7.27;3.86;Negativno;Ne
299;13.3;-20.8;7.08;4.35;Pozitivno;Ne
300;14.3;-22.8;6.54;3.52;Pozitivno;Da
301;14.3;-21.2;6.74;3.89;Pozitivno;Da
302;10.2;-11.5;7.22;4.24;Pozitivno;Ne
303;13.1;-21.6;7.1;4.01;Pozitivno;Da
304;13.9;-17.8;6.98;4.36;Pozitivno;Da
305;11.7;-14.6;7.3;4.53;Pozitivno;Da
306;14.6;-13.5;7.13;4.04;Pozitivno;Da
307;13.3;-13.9;7.51;4.29;Pozitivno;Da
308;13.3;-24.7;6.77;4.32;Pozitivno;Da
309;13.9;-26.0;7.03;3.61;Pozitivno;Ne
310;9.6;-17.5;6.96;3.67;Pozitivno;Da
311;10.6;-24.5;6.49;2.98;Pozitivno;Ne
312;14.1;-21.5;6.71;4.82;Pozitivno;Da
313;11.9;-15.2;6.93;3.63;Pozitivno;Da
314;12.0;-16.1;7.03;4.08;Pozitivno;Da
315;10.4;-21.5;7.22;4.04;Pozitivno;Da
316;9.3;-28.0;7.32;4.43;Pozitivno;Da
317;11.1;-20.4;7.14;4.56;Pozitivno;Ne
318;11.4;-20.6;7.01;4.52;Pozitivno;Da
319;9.5;-14.5;7.34;3.82;Negativno;Ne
320;13.1;-26.4;7.04;4.0;Pozitivno;Da
321;14.0;-18.3;7.02;4.24;Pozitivno;Da
322;13.6;-26.7;6.89;3.6;Pozitivno;Da
323;15.8;-21.5;7.26;3.98;Pozitivno;Da
324;9.1;-7.4;7.13;3.11;Pozitivno;Da
325;15.4;-20.9;7.03;3.49;Pozitivno;Da
326;13.8;-17.5;7.08;3.8;Pozitivno;Da
327;9.9;-21.9;7.04;3.45;Pozitivno;Da
328;8.9;-17.0;6.47;3.19;Pozitivno;Da
329;12.5;-14.0;7.07;4.03;Pozitivno;Da
330;11.0;-19.3;6.96;3.3;Pozitivno;Da
331;8.1;-17.6;6.79;4.47;Pozitivno;Da
332;7.0;-22.6;7.3;4.03;Pozitivno;Da
333;11.4;-25.4;7.18;4.32;Pozitivno;Da
334;14.1;-18.8;6.8;3.77;Pozitivno;Ne
335;9.0;-30.2;7.16;4.33;Pozitivno;Da
336;18.5;-21.4;6.96;3.91;Pozitivno;Da
337;12.6;-24.7;6.79;3.23;Pozitivno;Da
338;12.7;-15.9;7.55;4.91;Pozitivno;Da
339;8.7;-17.8;7.03;4.08;Pozitivno;Da
340;9.2;-23.9;6.92;3.9;Pozitivno;Da
341;11.8;-18.5;7.08;3.93;Pozitivno;Ne
342;14.1;-24.7;6.97;4.74;Pozitivno;Da
343;11.9;-27.4;6.88;3.68;Pozitivno;Ne
344;13.4;-20.3;6.71;4.5;Pozitivno;Da
345;16.1;-20.8;6.9;3.39;Pozitivno;Da
346;17.2;-18.1;6.92;3.51;Pozitivno;Da
347;12.4;-9.9;7.1;3.21;Pozitivno;Da
348;9.1;-20.2;7.14;3.64;Pozitivno;Ne
349;8.1;-16.0;6.9;3.21;Pozitivno;Ne
350;15.4;-24.6;7.1;4.35;Pozitivno;Da
351;8.9;-16.6;7.27;4.21;Pozitivno;Da
352;10.3;-16.6;7.18;4.31;Pozitivno;Da
353;10.6;-22.2;6.73;3.0;Pozitivno;Da
354;9.9;-17.1;6.73;3.76;Pozitivno;Da
355;15.0;-23.8;7.14;3.67;Pozitivno;Da
356;5.4;-12.5;6.84;4.06;Pozitivno;Da
357;14.2;-11.6;6.65;4.69;Pozitivno;Da
358;13.4;-17.9;7.25;4.39;Pozitivno;Da
359;10.7;-19.2;6.86;4.08;Pozitivno;Da
360;15.5;-14.8;6.61;4.16;Pozitivno;Da
361;11.2;-9.9;6.67;3.97;Pozitivno;Da
362;14.7;-13.6;7.04;3.85;Pozitivno;Da
363;14.1;-26.4;6.75;3.93;Negativno;Da
364;13.5;-13.6;7.04;4.06;Pozitivno;Da
365;10.2;-15.4;6.87;4.5;Pozitivno;Da
366;8.9;-29.7;6.84;4.14;Pozitivno;Da
367;8.8;-16.6;7.13;3.72;Pozitivno;Da
368;12.2;-15.0;7.25;3.86;Pozitivno;Da
369;8.9;-26.2;6.7;4.07;Pozitivno;Da
370;10.1;-16.3;7.26;4.05;Pozitivno;Da
371;20.1;-18.4;7.1;4.54;Negativno;Da
372;16.5;-26.2;6.98;4.77;Pozitivno;Da
373;14.5;-25.0;6.76;3.81;Pozitivno;Ne
374;11.3;-22.6;6.95;5.18;Pozitivno;Da
375;7.8;-20.8;7.34;4.98;Negativno;Da
376;15.7;-11.9;6.78;3.84;Pozitivno;Da
377;12.2;-20.6;6.82;3.61;Pozitivno;Da
378;11.1;-8.1;7.31;4.17;Pozitivno;Da
379;11.4;-19.8;6.99;4.31;Pozitivno;Da
380;13.2;-20.4;7.01;3.82;Negativno;Da
381;12.3;-18.7;7.23;4.87;Pozitivno;Da
382;11.9;-17.8;6.91;3.71;Pozitivno;Da
383;11.5;-17.2;6.67;3.91;Pozitivno;Ne
384;14.9;-26.8;6.9;4.01;Pozitivno;Da
385;18.5;-18.0;6.74;2.61;Pozitivno;Da
386;14.9;-20.4;7.11;3.47;Pozitivno;Ne
387;7.2;-12.2;7.07;4.04;Negativno;Da
388;13.4;-22.8;7.03;3.56;Pozitivno;Da
389;15.4;-12.5;7.14;3.45;Pozitivno;Da
390;13.9;-15.7;6.95;4.41;Pozitivno;Da
391;16.0;-19.9;7.24;3.53;Pozitivno;Ne
392;10.7;-25.5;7.7;3.79;Pozitivno;Ne
393;3.5;-11.2;6.8;4.3;Negativno;Da
394;14.2;-30.0;7.11;4.65;Pozitivno;Da
395;6.2;-24.5;6.65;4.25;Pozitivno;Da
396;17.8;-24.4;6.88;3.76;Pozitivno;Da
397;7.8;-20.2;7.26;4.0;Pozitivno;Da
398;7.1;-28.1;7.0;4.51;Negativno;Da
399;14.9;-16.9;7.15;4.17;Pozitivno;Da
400;8.6;-20.5;7.13;4.5;Pozitivno;Da
401;11.2;-15.3;6.96;3.25;Pozitivno;Da
402;7.6;-23.3;6.97;4.18;Pozitivno;Ne
403;7.5;-18.7;7.03;3.96;Pozitivno;Da
404;11.6;-20.5;7.09;4.21;Pozitivno;Da
405;12.2;-15.9;7.11;3.45;Pozitivno;Da
406;12.3;-16.2;6.72;4.46;Pozitivno;Da
407;14.2;-20.1;7.05;4.27;Pozitivno;Da
408;14.6;-23.6;7.13;3.64;Pozitivno;Da
409;10.6;-23.3;7.53;3.11;Pozitivno;Ne
410;9.7;-20.0;6.97;4.47;Pozitivno;Da
411;14.0;-18.4;6.94;4.67;Pozitivno;Da
412;11.5;-20.9;7.11;4.38;Pozitivno;Ne
413;9.8;-17.5;7.17;4.64;Pozitivno;Da
414;14.3;-9.0;6.6;3.8;Pozitivno;Da
415;9.9;-23.5;7.1;4.48;Pozitivno;Da
416;20.7;-20.7;7.0;4.7;Pozitivno;Da
417;12.5;-26.3;7.11;4.98;Pozitivno;Da
418;13.0;-21.9;6.93;4.12;Negativno;Da
419;12.1;-20.9;6.85;4.43;Pozitivno;Da
420;15.4;-17.3;7.24;4.43;Pozitivno;Ne
421;13.5;-18.1;7.07;4.09;Pozitivno;Ne
422;8.3;-16.4;7.05;4.76;Pozitivno;Da
423;15.8;-19.0;7.05;3.56;Pozitivno;Da
424;15.7;-21.6;6.87;3.77;Pozitivno;Da
425;11.7;-27.1;7.31;3.26;Pozitivno;Da
426;14.2;-24.8;6.76;5.59;Negativno;Da
427;12.2;-28.0;7.0;3.91;Pozitivno;Da
428;8.8;-24.4;7.19;4.29;Pozitivno;Da
429;8.7;-21.0;6.93;3.93;Pozitivno;Da
430;16.5;-21.0;6.97;4.73;Pozitivno;Da
431;15.5;-23.1;6.8;4.43;Pozitivno;Da
432;17.1;-15.8;6.73;5.27;Pozitivno;Da
433;17.2;-19.9;7.06;4.52;Negativno;Da
434;9.8;-26.1;7.06;3.74;Pozitivno;Da
435;12.5;-12.6;6.81;3.77;Pozitivno;Ne
436;8.3;-14.5;6.61;3.39;Pozitivno;Da
437;10.0;-28.1;6.76;4.31;Pozitivno;Da
438;11.7;-21.0;7.04;4.7;Pozitivno;Da
439;11.5;-16.7;6.86;4.45;Pozitivno;Da
440;2.5;-18.9;7.16;3.61;Pozitivno;Da
441;10.9;-23.8;6.52;3.63;Pozitivno;Da
442;9.8;-19.5;6.75;3.84;Pozitivno;Ne
443;4.9;-22.2;6.86;4.23;Pozitivno;Da
444;9.5;-21.3;7.29;3.67;Negativno;Da
445;8.1;-15.1;6.88;3.63;Pozitivno;Da
446;6.4;-20.3;7.09;3.63;Pozitivno;Da
447;16.0;-20.3;6.96;3.25;Pozitivno;Da
448;11.7;-17.1;7.13;3.97;Pozitivno;Da
449;10.8;-24.7;7.15;3.73;Pozitivno;Ne
450;13.1;-13.4;6.95;4.26;Pozitivno;Da
451;14.3;-21.8;6.94;4.07;Pozitivno;Da
452;9.9;-17.8;7.25;3.16;Pozitivno;Da
453;22.8;-14.0;7.29;3.01;Pozitivno;Da
454;25.6;-23.6;6.81;3.53;Pozitivno;Da
455;16.6;-14.1;7.11;3.63;Pozitivno;Da
456;27.6;-25.2;7.01;4.08;Pozitivno;Da
457;24.7;-23.6;6.91;2.69;Pozitivno;Da
458;20.1;-25.5;6.87;3.09;Negativno;Da
459;18.6;-27.3;6.43;2.94;Pozitivno;Da
460;28.5;-25.3;6.91;3.27;Pozitivno;Da
461;23.9;-31.0;7.02;3.74;Pozitivno;Da
462;18.2;-20.8;7.05;3.82;Pozitivno;Da
463;16.6;-24.2;6.97;2.05;Pozitivno;Da
464;17.8;-29.0;6.67;3.68;Pozitivno;Da
465;22.8;-29.6;7.31;3.86;Pozitivno;Da
466;24.8;-19.7;6.89;3.57;Pozitivno;Da
467;17.4;-24.3;6.73;3.48;Pozitivno;Da
468;16.5;-24.6;7.25;3.41;Pozitivno;Da
469;20.9;-20.5;6.74;3.06;Pozitivno;Da
470;20.7;-19.6;6.86;4.03;Pozitivno;Da
471;27.3;-19.7;7.39;2.93;Negativno;Da
472;15.4;-15.0;6.8;3.9;Pozitivno;Da
473;13.0;-18.5;6.63;3.54;Pozitivno;Da
474;25.2;-16.9;6.74;3.39;Pozitivno;Da
475;25.5;-31.0;7.03;2.93;Pozitivno;Ne
476;21.8;-24.8;7.21;3.78;Pozitivno;Da
477;14.1;-17.0;6.59;3.72;Pozitivno;Da
478;21.4;-21.2;6.87;3.17;Pozitivno;Da
